#ZVView-data-copy:   6-Oct-2017 16:33:38
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,INL)XE-128
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  340
#data...
#            X            Y
#          MeV        barns
       4.92337      1.94975
       4.93288      1.94878
       4.94122      1.94793
             5        1.942
       5.11526      1.93201
       5.16652      1.92757
       5.21829      1.92311
       5.31014      1.91519
       5.32339      1.91406
       5.40361      1.90718
       5.47479      1.90109
       5.48503      1.90021
       5.54691      1.89494
       5.60162      1.89028
       5.60948      1.88961
       5.65687      1.88559
       5.70466      1.88154
       5.74076      1.87847
        5.7771      1.87541
       5.80145      1.87335
       5.85046      1.86921
       5.86895      1.86765
       5.92476      1.86295
       5.94974      1.86085
       5.96697       1.8594
             6      1.85663
       6.22074      1.85119
       6.23574      1.85082
       6.40702      1.84662
        6.4186      1.84634
       6.55038      1.84312
        6.6128       1.8416
       6.70754       1.8393
       6.74856       1.8383
       6.85221      1.83579
       6.91516      1.83426
       6.96276      1.83311
             7      1.83221
       7.23762      1.76633
       7.42112      1.71545
       7.48331      1.69821
       7.61523        1.664
       7.75047      1.62893
       7.87425      1.59683
       7.91594      1.58601
             8      1.56422
       8.23907      1.43326
       8.42305      1.33613
       8.61113      1.23683
       8.61708      1.23383
       8.75193      1.16571
        8.8751       1.1035
       8.91654      1.08256
             9       1.0404
       9.24021     0.950378
       9.42457     0.881286
       9.49465     0.856122
       9.67213     0.792391
       9.80439     0.744899
        9.8347     0.734333
       9.95842     0.691203
            10     0.676706
        10.333     0.619595
       10.4664     0.596733
       10.6203      0.57153
       10.9287     0.521033
       10.9701      0.51426
       11.1872     0.480084
       11.3273     0.458029
       11.3851     0.449254
        11.601      0.41645
       11.7715     0.390552
       11.7739      0.39019
       11.8864     0.373581
       11.9242     0.368009
            12     0.356813
        12.337      0.33599
       12.6264     0.318112
        12.653     0.316466
       12.9566     0.298526
       13.1185     0.288957
       13.2099     0.283766
       13.4868      0.26804
       13.6998     0.255946
        13.709      0.25544
       13.8537     0.247483
       13.9023     0.244811
            14     0.239441
        14.336     0.230344
       14.5697     0.224017
       14.7435     0.219311
       14.7833      0.21827
       14.8552      0.21639
            15     0.212601
       15.3365      0.20535
       15.4296     0.203344
       15.5702     0.200312
       15.7122     0.197253
       15.8554     0.194166
            16     0.191051
       16.9706     0.171837
            18     0.152624
       18.9737     0.133853
            20     0.115082
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.b4: XE-130(N,INL)XE-130
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  60
#data...
#            X            Y
#          MeV        barns
      0.540162            0
         0.567     0.240283
           0.6     0.346266
           0.7      0.53576
         0.722     0.564348
           0.8     0.649967
         0.878     0.717672
           0.9     0.735595
             1     0.805784
         1.033     0.826559
       1.13071     0.876463
         1.131     0.877476
         1.188       1.0135
          1.21       1.0423
         1.213      1.04572
       1.21335        1.046
         1.231      1.07502
         1.252      1.10198
         1.274      1.12601
         1.388      1.22871
           1.5      1.30693
         1.614      1.37305
       1.64568      1.38925
         1.646      1.38954
         1.728      1.43882
         1.774      1.46228
         1.821      1.48511
       1.82204      1.48527
         1.867      1.50995
         1.913       1.5319
         1.949      1.54867
         1.959       1.5533
         1.985      1.59057
             2      1.59747
         2.021       1.6071
         2.057      1.62263
           2.1      1.64093
           2.5      2.01053
             3      2.23826
           3.5      2.42421
             4      2.47695
           4.5       2.4506
             5      2.39569
           5.5       2.3289
             6      2.26227
           6.5      2.20408
             7      2.15185
           7.5      2.10935
             8       2.0681
           8.5       2.0274
             9      1.98395
           9.5      1.93637
            10      1.74347
            11     0.616034
            12     0.248917
            13     0.115994
            14    0.0528915
            15   0.00747433
            16            0
            20            0
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.b4: XE-131(N,INL)XE-131
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  53
#data...
#            X            Y
#          MeV        barns
     0.0808079            0
          0.09    0.0514676
           0.1    0.0849105
          0.15     0.163043
      0.165193     0.172763
           0.2     0.200224
           0.3     0.237697
      0.343769     0.243091
      0.367299     0.256393
           0.4     0.365194
      0.407929     0.375058
         0.495      0.60734
           0.5      0.62075
      0.569545      0.70311
           0.6      0.75667
      0.641898     0.785859
      0.672069     0.833039
           0.7     0.899166
      0.705293     0.902512
       0.72848     0.932459
           0.8      1.08056
       0.81214      1.09407
           0.9      1.19194
      0.920881      1.20103
      0.959628      1.23562
      0.978703      1.25988
      0.980608       1.2627
             1      1.29997
           1.1      1.40192
           1.2      1.50992
           1.4      1.65411
           1.6      1.77262
             2      1.96868
           2.6      2.08517
             3      2.18007
             4      2.21611
             5      2.19763
             6      2.10102
             7      2.01197
             8      1.70175
             9      1.20931
