#ZVView-data-copy:   2-Oct-2017 15:26:51
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-129(N,EL)XE-129-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  10697
#data...
#            X            Y
#          MeV        barns
    9.10124e-5       11.285
    9.10321e-5       11.939
    9.10616e-5      13.0098
    9.10912e-5      14.1934
    9.11207e-5      15.4989
    9.11502e-5      16.9387
    9.11702e-5      17.9974
    9.11905e-5      19.1487
    9.12108e-5       20.385
    9.12311e-5      21.7151
    9.12513e-5      23.1493
    9.12716e-5      24.6994
    9.12919e-5      26.3791
    9.13122e-5      28.2044
    9.13312e-5      30.0591
    9.13488e-5      31.9293
    9.13664e-5      33.9554
    9.13841e-5      36.1565
    9.14017e-5      38.5546
    9.14194e-5      41.1748
     9.1437e-5      44.0469
    9.14547e-5      47.2048
    9.14711e-5      50.4277
    9.14862e-5      53.6834
    9.15013e-5      57.2422
    9.15164e-5      61.1416
    9.15316e-5      65.4236
    9.15467e-5      70.1358
    9.15618e-5       75.332
    9.15769e-5      81.0722
    9.15914e-5      87.1459
    9.16053e-5      93.5413
    9.16192e-5      100.574
     9.1633e-5      108.312
    9.16469e-5      116.831
    9.16608e-5      126.213
    9.16746e-5      136.544
    9.16885e-5      147.917
    9.17016e-5      159.717
    9.17139e-5      171.847
    9.17263e-5      185.035
    9.17386e-5      199.358
     9.1751e-5      214.894
    9.17634e-5      231.723
    9.17757e-5      249.923
    9.17881e-5       269.57
    9.18018e-5      293.212
    9.18169e-5      321.529
     9.1832e-5      352.355
    9.18472e-5      385.783
    9.18598e-5      415.681
    9.18749e-5      454.046
      9.189e-5      495.137
    9.19052e-5      538.933
    9.19203e-5      585.369
    9.19404e-5      651.186
    9.19606e-5      721.082
    9.19858e-5      813.291
    9.20262e-5      968.239
    9.20766e-5         1163
    9.21068e-5      1272.55
     9.2127e-5      1339.54
    9.21472e-5      1400.06
    9.21673e-5      1452.76
     9.2185e-5      1491.52
    9.22077e-5      1530.12
    9.22278e-5      1552.98
     9.2248e-5      1564.52
    9.22571e-5      1565.94
    9.22722e-5      1563.08
    9.22924e-5      1549.25
     9.2315e-5      1520.46
    9.23327e-5      1488.98
    9.23528e-5      1444.12
     9.2373e-5      1390.84
    9.23932e-5      1330.39
    9.24234e-5      1229.27
    9.24638e-5      1082.34
    9.25142e-5      894.219
    9.25444e-5      785.764
    9.25646e-5      717.121
    9.25848e-5      652.133
    9.26049e-5      591.237
    9.26251e-5      534.716
    9.26402e-5      495.285
    9.26528e-5      464.379
     9.2668e-5      429.619
    9.26831e-5      397.355
    9.26982e-5      367.515
    9.27138e-5      339.132
      9.273e-5      312.321
    9.27461e-5      287.893
    9.27622e-5      265.695
    9.27784e-5      245.566
    9.27945e-5      227.344
    9.28106e-5       210.87
    9.28268e-5      195.991
    9.28399e-5      184.972
     9.2855e-5      173.346
    9.28701e-5      162.779
    9.28853e-5      153.172
    9.29004e-5      144.429
    9.29155e-5      136.463
    9.29306e-5      129.197
    9.29457e-5      122.557
    9.29659e-5      114.568
    9.29861e-5      107.443
    9.30025e-5       102.21
    9.30214e-5      96.7123
    9.30403e-5      91.7256
    9.30592e-5      87.1863
    9.30844e-5      81.7373
    9.31096e-5      76.8799
    9.31348e-5      72.5257
      9.316e-5      68.6022
    9.31852e-5      65.0497
    9.32142e-5      61.3592
     9.3247e-5      57.6228
    9.32798e-5        54.28
    9.33125e-5      51.2729
    9.33453e-5      48.5546
    9.33781e-5      46.0865
    9.34108e-5      43.8367
    9.34436e-5      41.7785
    9.34852e-5      39.4069
    9.35104e-5      38.0857
    9.35608e-5      35.6723
    9.36112e-5      33.5246
    9.36617e-5      31.6027
    9.37121e-5      29.8745
    9.37625e-5      28.3134
    9.38129e-5      26.8974
    9.38633e-5      25.6081
    9.39264e-5      24.1513
    9.39894e-5      22.8434
    9.40524e-5      21.6638
    9.41154e-5      20.5953
    9.41784e-5      19.6238
    9.42415e-5      18.7373
     9.4336e-5      17.5451
    9.44305e-5      16.4935
    9.45251e-5      15.5601
    9.46196e-5      14.7269
    9.47141e-5      13.9795
    9.48086e-5      13.3058
    9.49284e-5      12.5431
    9.50418e-5      11.9001
    9.51553e-5      11.3227
    9.52687e-5      10.8017
    9.53821e-5      10.3296
    9.55523e-5      9.69955
    9.57224e-5      9.14852
    9.59052e-5      8.62935
    9.60943e-5      8.15793
    9.62833e-5      7.74205
    9.64724e-5      7.37269
    9.66615e-5      7.04267
    9.68568e-5       6.7368
    9.70648e-5      6.44469
    9.73421e-5       6.1004
    9.76194e-5      5.79933
    9.78967e-5      5.53388
     9.8242e-5      5.24358
    9.85872e-5      4.99036
    9.89325e-5      4.76762
    9.92778e-5      4.57015
     9.9628e-5      4.39146
   0.000100153      4.15688
   0.000100678      3.95479
   0.000101211      3.77629
   0.000101744      3.61933
   0.000102099       3.5247
   0.000102819      3.35319
   0.000103539      3.20379
    0.00010427      3.07044
      0.000105      2.95192
   0.000106111      2.79423
   0.000107233      2.65682
   0.000108365      2.53581
   0.000109507      2.42876
   0.000110666      2.33419
   0.000111806      2.25492
   0.000112957      2.19067
   0.000113751      2.15782
   0.000114599      2.13636
    0.00011505      2.13228
   0.000115659      2.13708
   0.000116267      2.15667
   0.000116673      2.18076
   0.000117085      2.21635
   0.000117496      2.26579
   0.000117805      2.31399
   0.000118113      2.37374
   0.000118424      2.44768
   0.000118737      2.53936
    0.00011905      2.65186
   0.000119258      2.74069
   0.000119467      2.84253
   0.000119675       2.9594
   0.000119884      3.09363
   0.000120062      3.22405
   0.000120284      3.40986
   0.000120432      3.55069
    0.00012058      3.70723
   0.000120728      3.88145
   0.000120876      4.07564
   0.000121023      4.29247
   0.000121171      4.53511
   0.000121288      4.74733
   0.000121405       4.9801
   0.000121521      5.23585
   0.000121638       5.5174
   0.000121755      5.82798
   0.000121872      6.17134
   0.000121988      6.55183
   0.000122105      6.97452
   0.000122231      7.48699
   0.000122316      7.86436
     0.0001224      8.27382
   0.000122484      8.71884
   0.000122569      9.20339
   0.000122653      9.73202
   0.000122737        10.31
   0.000122815      10.8926
   0.000122886      11.4729
   0.000122958      12.1022
   0.000123029      12.7859
     0.0001231      13.5301
   0.000123172      14.3417
   0.000123243      15.2286
   0.000123314         16.2
   0.000123379      17.1554
   0.000123436      18.0765
   0.000123493      19.0728
    0.00012355      20.1526
   0.000123607      21.3252
   0.000123664      22.6011
   0.000123721      23.9926
   0.000123778      25.5136
    0.00012383      27.0223
   0.000123877      28.4945
   0.000123923      30.0871
    0.00012397      31.8132
   0.000124017       33.688
   0.000124063      35.7286
    0.00012411      37.9549
   0.000124157      40.3898
   0.000124198      42.7506
   0.000124253      46.1674
   0.000124289      48.6716
   0.000124325      51.3796
   0.000124362      54.3142
   0.000124398      57.5011
   0.000124434      60.9703
    0.00012447      64.7559
   0.000124502      68.2827
   0.000124533      72.1001
   0.000124564      76.2412
   0.000124595       80.744
   0.000124626      85.6522
   0.000124657      91.0164
   0.000124688      96.8956
    0.00012472      103.358
   0.000124755      111.617
   0.000124779      117.682
