#ZVView-data-copy:   6-Oct-2017 16:32:26
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,EL)XE-128-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3348
#data...
#            X            Y
#          MeV        barns
   0.000240156      104.689
   0.000240249      97.6956
   0.000240327      92.4151
   0.000240422      86.6796
   0.000240518      81.5678
   0.000240612       76.988
   0.000240708      72.8653
   0.000240803      69.1379
   0.000240898      65.7542
   0.000240992       62.671
   0.000241099      59.5168
   0.000241218      56.3519
   0.000241337      53.4969
   0.000241456      50.9108
   0.000241574      48.5592
   0.000241752      45.4094
   0.000241931      42.6434
   0.000242109       40.198
   0.000242287      38.0232
   0.000242465      36.0783
   0.000242643      34.3305
   0.000242821      32.7528
   0.000243047      30.9638
   0.000243261      29.4533
   0.000243474      28.0948
   0.000243688      26.8671
   0.000244009      25.2341
   0.000244329      23.8112
    0.00024465      22.5618
   0.000245006      21.3421
   0.000245362      20.2701
   0.000245719      19.3211
   0.000246075      18.4759
    0.00024655      17.4837
   0.000246942      16.7622
   0.000247334      16.1146
   0.000247856      15.3484
   0.000248379      14.6762
   0.000248925      14.0551
   0.000249495      13.4811
   0.000250065      12.9713
    0.00025092      12.3057
   0.000251775      11.7365
    0.00025263      11.2443
   0.000253485      10.8147
    0.00025434      10.4366
    0.00025548      9.99763
    0.00025681       9.5613
    0.00025814      9.18941
    0.00025985      8.78423
    0.00026175      8.40895
    0.00026384       8.0646
    0.00026612      7.75094
     0.0002684      7.48656
    0.00027068       7.2602
    0.00027372      7.00378
   0.000276741      6.78841
   0.000281282      6.51852
   0.000285699      6.30061
   0.000290516      6.09823
   0.000296693      5.87547
     0.0003064      5.57185
   0.000317148      5.24543
    0.00032192       5.0783
    0.00032486      4.95656
   0.000327442      4.82816
   0.000329629      4.69348
   0.000331041       4.5864
   0.000332408      4.46003
   0.000333582      4.32501
   0.000334562      4.18458
   0.000335248      4.06494
   0.000335836      3.94326
   0.000336424      3.79793
   0.000336865      3.66851
   0.000337233      3.54332
     0.0003376      3.39812
   0.000337968      3.22749
   0.000338212      3.09599
   0.000338457      2.94695
    0.00033866      2.80818
   0.000338819      2.68696
   0.000338978      2.55364
   0.000339137      2.40647
   0.000339272      2.26967
   0.000339382      2.14849
   0.000339493      2.01834
   0.000339603      1.87895
   0.000339768      1.65454
   0.000339906      1.46436
   0.000339961      1.39458
   0.000340003      1.34852
   0.000340044      1.31121
   0.000340071      1.29329
   0.000340099      1.28282
   0.000340113      1.28101
   0.000340133      1.28339
   0.000340154       1.2929
   0.000340175      1.31086
   0.000340195      1.33875
   0.000340209      1.36371
   0.000340223      1.39442
   0.000340237       1.4315
   0.000340251      1.47563
   0.000340264      1.52754
   0.000340278      1.58803
   0.000340292      1.65796
   0.000340306      1.73828
    0.00034032      1.82998
   0.000340333      1.93416
   0.000340347      2.05197
   0.000340361      2.18467
   0.000340375      2.33361
   0.000340388      2.50022
   0.000340402      2.68601
   0.000340416      2.89261
    0.00034043      3.12175
   0.000340444      3.37527
   0.000340457      3.65507
   0.000340467      3.85719
   0.000340479      4.14738
   0.000340491       4.4626
   0.000340503      4.80447
   0.000340516      5.17466
   0.000340528      5.57492
    0.00034054      6.00703
   0.000340552      6.47285
   0.000340565       6.9743
   0.000340576      7.47853
   0.000340587      8.01742
   0.000340603      8.79288
   0.000340618      9.63708
    0.00034063      10.3648
   0.000340644       11.242
   0.000340658      12.1842
    0.00034067      13.0787
   0.000340685      14.2758
   0.000340698      15.3654
   0.000340715      16.8066
   0.000340728      18.1293
   0.000340747      20.0233
   0.000340759       21.372
   0.000340777      23.4354
   0.000340793      25.4517
    0.00034081      27.8094
   0.000340828      30.3271
   0.000340851      33.8576
   0.000340868      36.6268
   0.000340887      40.0433
    0.00034091      44.2546
    0.00034093      48.1215
   0.000340952       52.717
   0.000340981       59.236
   0.000341007      65.2882
   0.000341041      73.8192
   0.000341079      83.7928
   0.000341138       100.02
   0.000341226      124.847
   0.000341265      135.473
   0.000341301      144.765
   0.000341335      152.671
   0.000341365       159.22
   0.000341393      164.503
    0.00034143      170.583
   0.000341459      174.407
   0.000341489      177.306
   0.000341523      179.461
   0.000341557      180.259
   0.000341583      179.972
   0.000341608      178.941
    0.00034164      176.682
   0.000341667      173.849
   0.000341696      169.984
   0.000341734      163.991
   0.000341765      157.979
   0.000341804      149.717
   0.000341848      139.466
   0.000341922      121.049
   0.000342008      99.2675
   0.000342057      87.2625
   0.000342095       78.737
   0.000342132      70.7521
    0.00034216      65.1556
   0.000342184      60.6646
   0.000342213      55.5512
   0.000342242      50.8323
   0.000342271       46.505
   0.000342293      43.5112
   0.000342315      40.7271
   0.000342337      38.1456
   0.000342358      35.7591
    0.00034238      33.5586
   0.000342402       31.535
   0.000342425      29.5848
   0.000342448      27.8079
   0.000342471      26.1922
   0.000342494      24.7261
   0.000342517      23.3979
    0.00034254      22.1962
   0.000342563      21.1103
   0.000342586      20.1298
   0.000342609      19.2448
   0.000342632      18.4463
   0.000342656      17.6802
   0.000342684      16.9124
   0.000342711      16.2321
   0.000342739      15.6284
   0.000342776      14.9255
   0.000342812      14.3209
   0.000342849      13.7974
   0.000342886       13.341
   0.000342941      12.7569
   0.000343002      12.2174
   0.000343063      11.7639
   0.000343125      11.3751
   0.000343217      10.8817
   0.000343308      10.4678
     0.0003434       10.113
   0.000343492      9.80385
   0.000343615      9.44748
   0.000343737      9.14144
   0.000343921      8.75471
   0.000344105      8.43408
   0.000344289      8.16345
   0.000344472      7.93163
   0.000344656      7.73058
   0.000344901      7.50037
   0.000345268      7.21666
   0.000345636      6.98721
    0.00034604      6.78007
   0.000346444      6.60793
   0.000346922      6.43788
   0.000347547      6.25536
    0.00034838      6.06095
    0.00034936      5.87989
    0.00035034      5.73268
   0.000351712       5.5629
   0.000353084      5.41912
   0.000355854      5.16675
   0.000359393      4.84566
   0.000360766      4.70053
   0.000361982      4.55076
   0.000363042      4.39507
   0.000363791      4.26458
   0.000364446      4.13089
   0.000365102      3.97273
   0.000365599      3.83133
   0.000366017      3.69377
   0.000366434      3.53432
   0.000366832      3.35651
   0.000367097      3.22035
   0.000367361      3.06688
   0.000367587       2.9202
   0.000367772      2.78622
   0.000367958      2.63842
   0.000368143      2.47472
   0.000368302      2.31996
   0.000368435      2.17964
   0.000368567      2.02811
     0.0003687      1.86489
   0.000368819      1.70839
   0.000369057      1.38289
    0.00036911      1.31578
   0.000369164       1.2562
   0.000369205      1.21824
   0.000369235      1.19774
   0.000369265      1.18489
   0.000369287      1.18157
   0.000369309      1.18488
   0.000369332      1.19611
   0.000369354      1.21676
   0.000369369       1.2366
   0.000369384      1.26198
   0.000369399      1.29353
   0.000369414      1.33195
   0.000369429        1.378
   0.000369443      1.43253
   0.000369458      1.49645
   0.000369473      1.57075
   0.000369488      1.65651
   0.000369503      1.75492
